translation,concept_id,external_id
المريض يأخذ سابقاً أدوية نفسية/عقلية (غير موصوفة من قبل منظمة أطباء بلا حدود)؟,3389,99a8b512-17f9-4a5d-9fd4-80c27500995b
 الدواء والجرعة,3390,28007e95-79a5-4b11-bb2b-89261b5f3ea8
معلومات إضافية عن العلاج السابق (بما في ذلك الآثار الجانبية),3391,ed4b93f6-9115-4813-8784-d653af7e74ed
فحص الحالة العقلية الأساسية (المظهر، التوجه، الكلام / النشاط الحركي، المزاج / العاطفة، الأفكار / الإدراك، المعرفة),3392,cb4974ca-ddac-4662-8b0a-2861f1e50569
التحقق من الدواء وتحديثه إذا لزم الأمر,3393,24a43033-0bbc-4109-a824-73f42381cb8b
ملاحظات,3394,c13f9fb3-6890-4e13-b13c-8c09fef6ba93
تعيين تاريخ الموعد التالي في وحدة المواعيد,3395,e6532b6c-2c70-4ef0-ac4a-ee6b804760ca
الأعراض الجانبية من العلاج الحالي: ,3398,0da21d2e-e464-4871-8ff8-f950808fbd85
هل المريض يأخذ الدواء كما تم وصفه؟,3399,dbf35880-d18e-4f15-ad9c-97b5b053e14a
 التفاصيل، اذا لزم ,3400,dc072a1a-20d8-4512-9e57-3585a07cb074
تاريخ الادخال,2418,40108bf5-0bbd-42e8-8102-bcbd0550a943
تاريخ اغلاق الملف,1359,8a9d2ace-372f-4413-a1c4-8999f55e2de2
العدد الكلي للاستشارات ,3402,1bf47398-7786-4f3e-8cae-b84a21f53eba
نوع الاستجابة الرئيسي,3403,2470a73b-697f-414a-8c0f-fff66c6ec895
نوع الاستشارة الرئيسي,2890,401b2df0-e26f-4f49-9165-6e20a1b8865a
سبب اغلاق الملف ,1552,9e861ef1-e07c-4955-9650-2ebac3138fc3
تم إحالة المريض الى,2062,93eb9716-6866-4d13-9b8f-59c0a7605a11
تفاصيل عن إغلاق الملف والحالة النهائية للمريض,1986,218d09c8-76b2-4e1c-8503-0db58f62ea52
الهدف الأول ,3404,3d081f71-7b90-4fb2-a8bc-961263ab6cec
الهدف الثاني ,3405,e6461d60-052f-450a-96aa-9523e807b560
الهدف الثالث,3406,d8e794bc-efd6-447b-8079-d8f84a267e36
 تعليقات ,3407,db316f14-259b-40ab-89c5-7d3187967f82
MHOS,1321,90b3d09c-d296-44d2-8292-8e04377fe027
PHQ-9,3119,6545b874-f44d-4d18-9ab1-7a8bb21c0a15
CGI-I,1323,c64dfacd-2fb5-464d-83a9-ebb9eb8d3ab3
CGI-S,1322,77f1a782-24af-40ba-bac1-b97d9a080f40
ذكر,5,625baaf5-ba75-4c23-bdef-283fd47c34db
انثى,6,2ded9cfb-c089-4e1c-b032-7aa4a17882f7
ذكر متحول,3235,37ccc7b5-0d1d-48d3-87a6-aee614bb500f
انثى متحولة,3234,1226d253-376f-4e73-9ae2-36c7e9362e8b
غير معياري,3236,810ca6e9-cabf-4aa6-98d0-c3d31cfdb5f0
عدم الإجابة ,3237,245151ca-691e-4d5a-a792-64cb573e2b34
غير معروف,929,ccb4c50d-13e0-46a2-bd5e-51c86d042ad8
ادخال جديد ,2475,9f2fe30f-a8f0-49ba-82e4-71c232259130
اعادة ادخال,2474,e4e42ecd-196b-4aa8-a265-bfbed09d77cf
فردية,1507,96223dc7-6959-4ea5-a362-c0246d858c87
ازواج,3189,61b32a22-acef-4141-9faa-9c236cdfa978
عائلية عدد المرضى,3190,f16d5d76-155b-453d-bd60-ea8ee4d344e9
اهل واطفال,25,c39eaa06-6506-49f0-9c4f-c96fa957f9cd
الاخصائي النفسي,1406,278401ee-3d6f-4c65-9455-f1c16d0a7a98
المستشار النفسي,1568,fda1cdd0-745e-4ff7-a3d0-b8f8ddb99331
زيارة منزلية,1382,bd5bf44b-164c-415c-8bff-b1d4849928d3
زيارة مدرسية,3191,7091b6ea-7067-4ee3-9f67-8805904e2f61
عن بعد / تلفون,975,398ce872-5862-4826-bba8-826915eddf98
استشارة مع مستشار نفسي,1405,08c534b7-c901-46fb-9831-50ecfcd74d1b
علاج نفسي مع اخصائي نفسي,3192,aa9c5d82-1ebf-43c7-9218-6766c4affbc4
قسم المرضى الداخليين لدى منظمة أطباء بلا حدود,3194,d17350e6-12de-4454-b902-58c2fc1e59aa
قسم الإسعافات لدى منظمة أطباء بلا حدود,1383,c709f78b-5787-4c7e-b5bd-66aad28f7ff4
مركز رعاية صحية أولية تابع لمنظمة أطباء بلا حدود,3195,82815438-a49d-48d7-a67f-dd294aa3c1e2
التوعية الصحية,3196,edb619d5-309f-45db-9521-70fcc22b30aa
موظف آخر لدى منظمة أطباء بلا حدود,3197,200a3de4-00a7-4a2e-a113-852013d6f4c5
عامل مجتمعي لدى منظمة أطباء بلا حدود,3198,92f7c3e2-89e1-4ebd-9da9-7c2976de815c
مركز أو منشأة صحية أخرى,3199,923c6b39-4094-45e4-95ab-b44f7a381980
عامل محلي في مجال الرعاية الصحية (ليس لدى منظمة أطباء بلا حدود),3200,54054512-7317-45c4-9494-f74be6ab4549
مؤسسات أخرى (منظمات غير حكومية / مؤسسة دينية / منظمة حكومية),3201,f9688da4-cdcf-4cb3-90c2-263812fa064f
بمفرده / رغبة من المريض,1417,8d9386b1-a641-4155-9822-7a06a16aa8e8
أحد أفراد العائلة / صديق / جار,3202,a8432309-bc74-4da0-8639-76988c02cbb5
أحد شخصيات المجتمع المحلي,3203,8b93d848-9e20-41b3-94e5-895a356e5ed7
مدرسة/جامعة,3204,98b1e458-2d46-4025-b912-7340f9d39610
السلطات,3205,80575f44-be81-4694-aba4-012999328339
مكتب المحاماة,3206,14940a46-5cce-4744-ac2a-c2d1fdc64e11
مكتب الادعاء,3207,b989e916-8299-40f6-9a92-c0c8d8e70f20
قسم الطب الشرعي,3208,f85b0def-4af3-4901-839d-0a9dc8ace318
منشط اجتماعي في مجال الرعاية الصحية,3209,127bfdc9-8059-4421-a3cc-967bfbfee0ce
مربي مجتمع,3210,410a0731-cb41-4181-9897-6eb9894bf7b8
آلام أو شكاوي جسدية (وجع رأس، وجع ظهر، خفقان القلب، مشاكل تنفس أو هضم، إلخ.),3211,464c68b7-0fb0-495c-b931-0c1732b60397
مشاكل في الأكل,1400,8cc7bf17-44f1-436e-9f0c-4ffed9fdd093
مشاكل في النوم,526,42966954-f43f-4564-bc59-d9d133e53a75
سلس البراز / البول,1396,a22392b2-c8dc-43b5-8f8a-b18a223f25f2
مشاكل جنسية,1401,3ba98736-982f-4d9c-a675-f83b180a9f28
ردود فعل جسدية لا يمكن تفسيرها (اختلاجات غير صرعية، شلل، عدم القدرة على المشي، إغماء لا تفسير له),3212,28adad48-b45b-46a4-ae94-4cca6118047e
مزاج حزين,1386,7f4699e5-e70a-49fb-bf34-c09afa867fdc
سرعة الضيق / الغضب,1387,ab05b9a6-64ae-4ba3-9ff6-df15a424ffb0
فقدان الاهتمام,1389,51061bb9-6084-4bb3-b83b-5c234e45b09c
فقدان الامل,892,ec2bcaba-7349-4e74-8cbe-fe8bd2dbbc4f
الشعور بالذنب / لوم الذات / الشعور بانعدام القيمة,3213,e8166325-9ddc-4739-9452-da63ee7862d2
أفكار انتحارية مؤخرا,1390,4f8f7343-f191-4483-bcf9-c60027a6eca8
محاولات انتحارية مؤخرا,3214,ad5c4c92-ae7d-442f-b360-5b8e7c1cbeca
أذية للذات مؤخراً,3215,003b425a-d8c3-47ed-bbde-45a7c180c0a4
تغير في الشهية,3216,ce47585c-fa23-4de3-9e3a-97f5eb309e72
شعور دائم بالضغط,3217,92d3cabc-e64c-4788-8d6b-e6e06f0b18fd
شعور دائم بالقلق,893,ebb4fe74-35df-4a6e-bd2a-3c3e9912e9bb
خوف شديد / خوف مرضي / الشعور بالتهديد,894,ae1ab702-fa58-4648-95e4-acca5c9078f7
نوبة ذعر (خوف شديد ومفاجئ مع أعراض جسدية مثل ألم الصدر),1634,473f0ea3-92e5-4a99-bbe0-358e371355ee
سلوك وسواسي أو متكرر,1392,4fa8e185-3ce6-4bbf-92c4-12e069dc9631
أفكار تطفلية أو اقتحامية,897,ecf185bf-e3a3-4c46-948b-13dd0ddd1487
ومضات من الماضي,1394,c60a75c9-2ee9-4fb2-af53-6d730e45f074
تجنب المحفزات المرتبطة بالصدمة,898,94083de5-2603-4b26-a6d8-ec4459f9eced
فرط اليقظة / استجابة إجفالية شديدة,907,06a3663d-f7c7-451d-a2e5-1daedfa7abb5
هلوسات مرتبطة بالصدمة (سماع أصوات مرتبطة بالحادث المسبب للصدمة، رؤية الموتى، أو أي تعبير خاص – ثقافياً – على الاضطراب),1398,e5f10e57-9d21-4d27-b2c9-e03aa535b76a
توقف الطفل عن الكلام,3218,96eca5fb-417d-4fdb-ab32-e701eb0f8e21
أوهام (معتقدات خاطئة),497,452fa7bf-ea9a-4057-bf15-bbc6c52284d4
هلوسات بصرية,3219,c841b5eb-e2d8-49c9-9f1b-43944d9980e6
هلوسات سمعية,3220,3a687fa3-ac74-4d99-a7eb-f92fbcfab3c1
تشتت الأفكار / الكلام,903,dfaf113c-72f2-4865-81c9-31aba9e95a74
سلوكيات غريبة,464,8a91cfc0-271e-48f4-a5f3-4dcbfa0dd26f
شعور ذهاني بالضيق,3221,cda4f471-1da9-4192-8f26-ecec35775d5a
مشاكل في التركيز، أو التذكر، أو التفكير,1403,44274d50-bb85-4f20-9b55-d08f60343c38
تأخر في التطور (المحطات الإنجازية),537,66e446ee-8f82-4f2a-808f-00d664ac92de
تواصل اجتماعي غير طبيعي,3225,08e5f461-0f71-4d23-95a0-1e4ae3d141ab
صعوبات في التعلم,3222,9240ed56-8ba2-4ef2-b42f-e84179fcc333
صرع/نوبات صرعية,420,88f53582-4db7-4936-970d-7b6f685f0c68
اضطراب ذو صلة بالعقاقير,2457,fcc01124-3d7b-4e6f-be35-50233a7f64cb
العدائية او الهجومية,2877,977e8c6f-befa-4af3-87e1-1d29a57450c1
اضطراب سلوكي لدى الطفل (يشمل اضطراب نقص الانتباه مع فرط النشاط، واضطراب المسلك),890,1189fb28-8d79-4d69-a434-63fed6e0ea60
قلة او فرط النشاط,3226,520eccda-99f4-4cab-950b-260cfe3ab767
الاندفاعية,3223,12723e41-2955-4917-971c-7f05849412d7
الارتكاس في التطور,901,c09cde65-4fa8-47bc-b795-06ccf0be1d8b
 الانعزال الاجتماعي (عزل النفس / مشاركة أقل في الأنشطة الاجتماعية),3224,07ff1a8a-2a0b-4e28-83ec-8c82f0681738
اضطراب الكرب الحاد,506,a2f8295b-1259-481f-8ef3-34e213b7b4d6
الفجيعة / الأسى,3186,7d486d0c-0e2b-475d-8e17-07296cc624b9
اضطراب الكرب التالي للصدمة النفسية,291,ec7a63e8-5d0b-4dcf-8f72-7529c1df699a
اضطراب التحويل,457,58881584-4f0e-4cf3-b2bf-d9f0898ae106
اضطراب القلق,102,2564bdee-c24c-4d96-903e-d44010f2a8ec
عراض طبية من دون أسباب جسدية,3187,9df01581-6135-4876-8fb8-cbaaa522064e
لاكتئاب,160,2066f043-2f21-4c19-8c04-77301d7404f9
سلوك مؤذي للنفس / محاولة انتحار,1391,b27187bd-e94a-4dbc-9a77-46c0cefad25a
ذهان حاد (يشمل ذهان ما بعد الإنجاب),446,b33dac1c-b0c0-4fcd-b639-661bb6678924
اضطراب ثنائي القطب(يشمل الهوس),448,1ba02bf8-6bbe-46a6-baff-d18b5c9f6425
اضطراب نمو (يشمل الإعاقة الذهنية والتوحد),500,63f73696-3d7c-4dc5-8c16-5382c20c3f9f
اضطراب عاطفي لدى الطفل,505,52d85e63-b238-4161-985c-97f75ad80c9a
لا يوجد تشخيص,1630,dc77c73a-5ce5-4aac-821e-81f19f81b65f
أيام ١-٣,3243,a3d78d0a-613d-46ab-ae00-de985dd822eb
أيام ٤-٦,3244,7a5a7a86-1ebf-4309-915a-d58e6c907db1
أسابيع ١-٤,3245,d5ea3587-be05-4b66-809c-3c63481300b3
أشهر ١-٦,3246,a2ffa3e1-eabe-4417-af29-09ea962d584e
أشهر ٦-١٢,3247,f9c40a2d-7e94-418b-b222-e73959845e4d
أكثر من سنة,3248,f7ae6f81-0dcf-4316-9706-26d96a8d9c1e
لم يتم قياسه ,3257,eb770ad7-b106-4255-83bd-2dc284fbd7ce
عادي / غير مريض,932,d884d3dd-7649-4260-b139-2d740baf9767
يشتبه بإصابته بمرض نفسي,3258,031386f7-5ee9-4a0b-876d-3e0f3d2bb1d1
مريض بشكل طفيف,1438,c90610d0-29ee-437e-af93-7bcc49fda2f1
مريض بشكل متوسط ,1439,e81cfac7-6c80-4e1b-af86-3d896c9bbdac
مريض بشكل ملحوظ ,1440,cf122053-f10b-4450-89e1-ed9adabb413c
مريض بشكل شديد,1441,a6f90f7f-82c5-4cf0-adc5-c71cc14ca3c7
مريض بشكل خطير,1442,0f115f25-cdd0-49c3-b009-ba9acb041fef
تحسن إلى حد كبير ,1443,7f91e377-d1bf-4d59-b2fd-ad21c08a833a
تحسن جداً ,1444,a8db8105-87a7-47b9-8aad-7b524ed8f530
تحسن بالحد الأدنى,1445,e19f352f-b693-434a-af4d-2813487de15c
لا تغيير,1446,6e4cc3f3-9e9a-4fd6-ac3e-cf2acd701c91
ساءت حالته قليلاً   ,1447,65ff54d3-f624-463d-8da9-655c3586ad1f
ساءت حالته جداً ,1448,a666c8f2-d5c8-4646-9a89-cfb597bb5380
ساءت حالته إلى حد كبير,1449,ece17856-b110-4453-9bc5-a92891f86846
منظمة أطباء بلا حدو,3300,74c9a7c6-e64d-4f49-b8a6-f10999eb25bc
ليس منظمة أطباء بلا حدود,3301,77822de2-c236-4400-96f4-ee13b9334cea
جنسي,313,51c61fb2-017e-43d7-9195-e95cc2cb9304
جسدي,3302,6473ad84-53e1-4bb0-bb25-32ac424aaa97
لفظي,3303,58bdf548-26ee-42da-8837-8ecaf82fce1d
نفسي,3304,5d595702-1991-47fa-bea1-8682e23c62bd
اقل من 24 ساعة,3305,63a236d1-add1-49ec-88c9-8e89108a71f2
72-24ساعة,3306,8d9cf61e-1f64-4f25-b202-52da17e8c634
اقل من شهر واحد,3307,0e298528-7c8c-4724-a24f-d71ee7c1ebea
اقل من سنة,3308,b5b58ef8-1bdf-4c14-9384-afbeb848d571
سنة او اكثر,3309,4a17e0a6-1add-49a6-9831-d8ad7c647ec9
مرض مرتبط بالوصم والعار (الإيدز، الفشل الكبدي الحاد، السرطان، إلخ.),3310,6e02debd-31eb-4112-8566-00e520835c76
حالة طبية شديدة (نقص التغذية، الإعاقة الجسدية، مشاكل جنسية أو إنجابية، إلخ.),3311,ccd5d010-12c7-44d7-966e-c5b17c02e3a2
حمل غير مرعوب به,3312,35910034-cc37-4dd1-abb7-ce140b0eff2b
المعاناة من مشاكل نفسية في السابق,3313,72ad3cc7-820c-4799-ab1c-36ad8f1ca97d
مرض مزمن (سكري، فرط الضغط، السرطان، إلخ.),3314,4bf7b376-9193-4ee4-a51a-445d07d2d22b
فرد من أفراد العائلة يعاني من حالة مرضية شديدة,3315,42e8ab5a-607f-4259-a23f-9f9bac5d5b46
العنف الجنسي داخل العائلة,3316,5cccf137-2952-4c9b-b879-b4ed2a9be621
